title,repository,url,description,technologies
"Rincón del Curao","https://github.com/Unnunoctio/rincon-del-curao","https://dev.rincondelcurao.cl","Website que recopila los precios de diversas cervezas, destilados y vinos vendidos en Chile. Los datos de los productos se obtienen desde Drinks API, donde los precios se actualizan diariamente desde las a las 9 am hasta las 5 pm hora de Chile.","TypeScript, TailwindCSS, NodeJS, Bun, React, NextJS, MongoDB, GraphQL."
"Drinks API","https://github.com/Unnunoctio/drinks-api","https://drinks-api-web.vercel.app","API REST que maneja diferentes tipos de bebidas alcohólicas, especificando cervezas, licores y vinos. Esta API permite listar y filtrar las diferentes bebidas.","JavaScript, Bun, Hono, MongoDB, API REST."
"Github Calendar JSON","https://github.com/Unnunoctio/github-calendar-json","https://www.npmjs.com/package/github-calendar-json","API REST que maneja diferentes tipos de bebidas alcohólicas, especificando cervezas, licores y vinos. Esta API permite listar y filtrar las diferentes bebidas.","JavaScript, NodeJS, NPM."
