institution,title,period,topics
"Pontificia Universidad Católica de Valparaíso","Ingeniería Civil en Informática (12° Semestre)","2019 - Presente",""
"Udemy","Curso de React","2021","Curso de React, profundizando en Context API, MERN stack, Hooks, Firestore, JWT, Testing, Autenticaciones, Deployments, operaciones CRUD, Múltiples Rutas, Redux y más."
